option_name	value_len	autoload
litespeed.conf.cache-ttl_status	22	auto
litespeed.conf.cache-vary_cookies	2	auto
litespeed.conf.cache-vary_group	2	auto
litespeed.conf.cdn	0	auto
litespeed.conf.cdn-attr	54	auto
litespeed.conf.cdn-cloudflare	0	auto
litespeed.conf.cdn-cloudflare_clear	0	auto
litespeed.conf.cdn-cloudflare_email	0	auto
litespeed.conf.cdn-cloudflare_key	0	auto
litespeed.conf.cdn-cloudflare_name	0	auto
litespeed.conf.cdn-cloudflare_zone	0	auto
litespeed.conf.cdn-exc	2	auto
litespeed.conf.cdn-mapping	204	auto
litespeed.conf.cdn-ori	2	auto
litespeed.conf.cdn-ori_dir	28	auto
litespeed.conf.cdn-quic	0	auto
litespeed.conf.crawler	0	auto
litespeed.conf.crawler-cookies	2	auto
litespeed.conf.crawler-crawl_interval	6	auto
litespeed.conf.crawler-load_limit	1	auto
litespeed.conf.crawler-roles	2	auto
litespeed.conf.crawler-sitemap	0	auto
litespeed.conf.db_optm-revisions_age	1	auto
litespeed.conf.db_optm-revisions_max	1	auto
litespeed.conf.debug	1	auto
litespeed.conf.debug-collapse_qs	0	auto
litespeed.conf.debug-disable_all	0	auto
litespeed.conf.debug-disable_tmp	1	auto
litespeed.conf.debug-exc	2	auto
litespeed.conf.debug-exc_strings	2	auto
litespeed.conf.debug-filesize	1	auto
litespeed.conf.debug-inc	2	auto
litespeed.conf.debug-ips	13	auto
litespeed.conf.debug-level	0	auto
litespeed.conf.discuss-avatar_cache	0	auto
litespeed.conf.discuss-avatar_cache_ttl	6	auto
litespeed.conf.discuss-avatar_cron	0	auto
litespeed.conf.esi	0	auto
litespeed.conf.esi-cache_admbar	1	auto
litespeed.conf.esi-cache_commform	1	auto
litespeed.conf.esi-nonce	33	auto
litespeed.conf.guest	0	auto
litespeed.conf.guest_optm	0	auto
litespeed.conf.hash	32	auto
litespeed.conf.img_optm-auto	0	auto
litespeed.conf.img_optm-exif	1	auto
litespeed.conf.img_optm-jpg_quality	2	auto
litespeed.conf.img_optm-lossless	0	auto
litespeed.conf.img_optm-ori	1	auto
litespeed.conf.img_optm-rm_bkup	0	auto
litespeed.conf.img_optm-sizes_skipped	2	auto
litespeed.conf.img_optm-webp	1	auto
litespeed.conf.img_optm-webp_attr	178	auto
litespeed.conf.img_optm-webp_replace_srcset	0	auto
litespeed.conf.media-add_missing_sizes	0	auto
litespeed.conf.media-auto_rescale_ori	0	auto
litespeed.conf.media-iframe_lazy	0	auto
litespeed.conf.media-iframe_lazy_cls_exc	2	auto
litespeed.conf.media-iframe_lazy_parent_cls_exc	2	auto
litespeed.conf.media-lazy	0	auto
litespeed.conf.media-lazy_cls_exc	19	auto
litespeed.conf.media-lazy_exc	2	auto
litespeed.conf.media-lazy_parent_cls_exc	2	auto
litespeed.conf.media-lazy_placeholder	0	auto
litespeed.conf.media-lazy_uri_exc	2	auto
litespeed.conf.media-lqip	0	auto
litespeed.conf.media-lqip_exc	2	auto
litespeed.conf.media-lqip_min_h	3	auto
litespeed.conf.media-lqip_min_w	3	auto
litespeed.conf.media-lqip_qual	1	auto
litespeed.conf.media-placeholder_resp	0	auto
litespeed.conf.media-placeholder_resp_async	1	auto
litespeed.conf.media-placeholder_resp_color	7	auto
litespeed.conf.media-placeholder_resp_svg	185	auto
litespeed.conf.media-vpi	0	auto
litespeed.conf.media-vpi_cron	0	auto
litespeed.conf.misc-heartbeat_back	0	auto
litespeed.conf.misc-heartbeat_back_ttl	2	auto
litespeed.conf.misc-heartbeat_editor	0	auto
litespeed.conf.misc-heartbeat_editor_ttl	2	auto
litespeed.conf.misc-heartbeat_front	0	auto
litespeed.conf.misc-heartbeat_front_ttl	2	auto
litespeed.conf.news	1	auto
litespeed.conf.object	0	auto
litespeed.conf.object-admin	1	auto
litespeed.conf.object-db_id	1	auto
litespeed.conf.object-global_groups	216	auto
litespeed.conf.object-host	9	auto
litespeed.conf.object-kind	0	auto
litespeed.conf.object-life	3	auto
litespeed.conf.object-non_persistent_groups	46	auto
litespeed.conf.object-persistent	1	auto
litespeed.conf.object-port	5	auto
litespeed.conf.object-pswd	0	auto
litespeed.conf.object-user	0	auto
litespeed.conf.optm-ccss_con	0	auto
litespeed.conf.optm-ccss_per_url	0	auto
litespeed.conf.optm-ccss_sep_posttype	8	auto
litespeed.conf.optm-ccss_sep_uri	2	auto
litespeed.conf.optm-ccss_whitelist	2	auto
litespeed.conf.optm-css_async	0	auto
litespeed.conf.optm-css_async_inline	1	auto
litespeed.conf.optm-css_comb	0	auto
litespeed.conf.optm-css_comb_ext_inl	1	auto
litespeed.conf.optm-css_exc	2	auto
litespeed.conf.optm-css_font_display	0	auto
litespeed.conf.optm-css_min	0	auto
litespeed.conf.optm-dns_preconnect	2	auto
litespeed.conf.optm-dns_prefetch	2	auto
litespeed.conf.optm-dns_prefetch_ctrl	0	auto
litespeed.conf.optm-emoji_rm	0	auto
litespeed.conf.optm-exc	2	auto
litespeed.conf.optm-exc_roles	2	auto
litespeed.conf.optm-ggfonts_async	0	auto
litespeed.conf.optm-ggfonts_rm	0	auto
litespeed.conf.optm-gm_js_exc	2	auto
litespeed.conf.optm-guest_only	1	auto
litespeed.conf.optm-html_lazy	2	auto
litespeed.conf.optm-html_min	0	auto
litespeed.conf.optm-html_skip_comment	2	auto
litespeed.conf.optm-js_comb	0	auto
litespeed.conf.optm-js_comb_ext_inl	1	auto
litespeed.conf.optm-js_defer	1	auto
litespeed.conf.optm-js_defer_exc	53	auto
litespeed.conf.optm-js_delay_inc	2	auto
litespeed.conf.optm-js_exc	29	auto
litespeed.conf.optm-js_min	0	auto
litespeed.conf.optm-localize	0	auto
litespeed.conf.optm-localize_domains	125	auto
litespeed.conf.optm-noscript_rm	0	auto
litespeed.conf.optm-qs_rm	0	auto
litespeed.conf.optm-ucss	0	auto
litespeed.conf.optm-ucss_exc	2	auto
litespeed.conf.optm-ucss_file_exc_inline	2	auto
litespeed.conf.optm-ucss_inline	0	auto
litespeed.conf.optm-ucss_whitelist	2	auto
litespeed.conf.purge-hook_all	157	auto
litespeed.conf.purge-post_a	1	auto
litespeed.conf.purge-post_all	0	auto
litespeed.conf.purge-post_d	0	auto
litespeed.conf.purge-post_f	1	auto
litespeed.conf.purge-post_h	1	auto
litespeed.conf.purge-post_m	1	auto
litespeed.conf.purge-post_p	1	auto
litespeed.conf.purge-post_pt	1	auto
litespeed.conf.purge-post_pwrp	1	auto
litespeed.conf.purge-post_t	1	auto
litespeed.conf.purge-post_y	0	auto
litespeed.conf.purge-stale	0	auto
litespeed.conf.purge-timed_urls	2	auto
litespeed.conf.purge-timed_urls_time	0	auto
litespeed.conf.purge-upgrade	0	auto
litespeed.conf.qc-cname	0	auto
litespeed.conf.qc-nameservers	0	auto
litespeed.conf.server_ip	0	auto
litespeed.conf.util-instant_click	0	auto
litespeed.conf.util-no_https_vary	0	auto
