rel_path,file_name,extension,size_bytes,mime_type,mime_source,sha256,width,height,wp_attachment_id,wp_reference_role,wp_parent_post,referenced_in_content,reference_signals,user_content,derived_from,thumbnail_pattern,generated_pattern,duplicate_group_sha,duplicate_group_size,duplicate_keeper,probable_duplicate_group_size,corrupt_signal,classification,wm4_action
2026/05/f09f9191-le-temps-de-la-recu-150x150.jpg,f09f9191-le-temps-de-la-recu-150x150.jpg,.jpg,8928,image/jpeg,magic,1cf76551fa0a2458052199f4a0e7d0554b1d8f36cfba404a38dddd6629770cfc,150,150,953,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-temps-de-la-recu.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-temps-de-la-recu-300x169.jpg,f09f9191-le-temps-de-la-recu-300x169.jpg,.jpg,17866,image/jpeg,magic,27d054b85b5c960432595f6fd1c7104df0736f1b1defb1f0c7d3d13e6212fd6f,300,169,953,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-temps-de-la-recu.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-temps-de-la-recu-768x432.jpg,f09f9191-le-temps-de-la-recu-768x432.jpg,.jpg,73482,image/jpeg,magic,41aad51d715dc12cba64ebf534b44fbc498817962392223a9d40a2161fdd8c40,768,432,953,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-temps-de-la-recu.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-temps-de-la-recu.jpg,f09f9191-le-temps-de-la-recu.jpg,.jpg,230089,image/jpeg,magic,9ea11cb56e9b847b37230c3187ba9097d84026aa6818a21bceebdde042e0ca76,1280,720,953,original,209,yes,path_in_content|attached_to_post:209,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/f09f94a5-pourquoi-vis-tu-com-1024x576.jpg,f09f94a5-pourquoi-vis-tu-com-1024x576.jpg,.jpg,103141,image/jpeg,magic,ae5be1e292ba1dd4d72c270622fb51f477d2434b6d8f8ffa63b3072f6bd6caf9,1024,576,954,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f94a5-pourquoi-vis-tu-com.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f94a5-pourquoi-vis-tu-com-150x150.jpg,f09f94a5-pourquoi-vis-tu-com-150x150.jpg,.jpg,8405,image/jpeg,magic,ea598b6cbaf1b2b359a389e033bf752cd9ba8c50e730a8bce07add9ba554a7bf,150,150,954,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f94a5-pourquoi-vis-tu-com.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f94a5-pourquoi-vis-tu-com-300x169.jpg,f09f94a5-pourquoi-vis-tu-com-300x169.jpg,.jpg,16692,image/jpeg,magic,02b82941cb68541ada2f0bb5c1129a427c99be9d85eba18edd0267748b98b1ee,300,169,954,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f94a5-pourquoi-vis-tu-com.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f94a5-pourquoi-vis-tu-com-768x432.jpg,f09f94a5-pourquoi-vis-tu-com-768x432.jpg,.jpg,68139,image/jpeg,magic,667a6eb86b92b1cc3433eaefcda477f7f91cae6cdc616b345eaab956acf94b01,768,432,954,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f94a5-pourquoi-vis-tu-com.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f94a5-pourquoi-vis-tu-com.jpg,f09f94a5-pourquoi-vis-tu-com.jpg,.jpg,215526,image/jpeg,magic,96d27f8bd1f3a40aec476277524baf4ba573bc1c5fdf5821f6833b6e41d19c92,1280,720,954,original,209,yes,path_in_content|attached_to_post:209,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/form-1024x512.png,form-1024x512.png,.png,281239,image/png,magic,b326dcf9a7c83d3ded8c74cfe3a86387d68c1755347ed5644f8eb2e3de590381,1024,512,690,sized_variant,0,no,none,yes,2026/05/form.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/form-150x150.png,form-150x150.png,.png,17257,image/png,magic,54353d04aac3e44ed786f4f2951398a8bd9c4af440b364fb962a60469597dbe5,150,150,690,sized_variant,0,no,none,yes,2026/05/form.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/form-1536x768.png,form-1536x768.png,.png,611294,image/png,magic,9e4787ce81bd8ad5ebd2d98f8a225190093596a9e2b52da8812ae6af9e629a8d,1536,768,690,sized_variant,0,no,none,yes,2026/05/form.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/form-300x150.png,form-300x150.png,.png,31987,image/png,magic,040e3b00264eb44d2fe0ff215e847cbd79997aa7be616727a2064cbd88d0e471,300,150,690,sized_variant,0,no,none,yes,2026/05/form.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/form-768x384.png,form-768x384.png,.png,168227,image/png,magic,01a6c065125efe787a2f1d28e11c0799511ff51b21e98a190557f6f736c65b69,768,384,690,sized_variant,0,no,none,yes,2026/05/form.png,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
